Categoria_original;Categoria_macro;
Aire Acondicionado;Aire acondicionado;1
A/A;Aire acondicionado;
aires acondicionado;Aire acondicionado;
AIRES ACONDICIONADOS;Aire acondicionado;
Hogar;Estufa a leña;2
Estufa a leña - Calefacción;Estufa a leña;
Estufa a leña;Estufa a leña;
estufa;Estufa a leña;
Estufa a leña , Estufa a leña;Estufa a leña;
Estufa Leña;Estufa a leña;
Estufa a leña - AA;Estufa a leña;
Aire Acondicionado y hogar;Estufa a leña;
electrica y hogar;Estufa a leña;
Estufa a leña , Central radiadores;Estufa a leña;
Estufa a leña, AA en dormitorio;Estufa a leña;
A/A - Estufa a leña;Estufa a leña;
Calefacción central a gas, Estufa de alto rendimiento;Estufa a leña;
Estufa de alto rendimiento;Estufa a leña;
Eléctrica;Losa radiante;3
Losa radiante;Losa radiante;
Losa Radiante Eléctrica;Losa radiante;
Losa Radiante / Bomba de calor / AA;Losa radiante;
Radiadores a gas o bomba de calor;Losa radiante;
Losa;Losa radiante;
Losa radiante a gas;Losa radiante;
losa individual eléctrica;Losa radiante;
losa radiante - bomba de calor;Losa radiante;
LOSA RADIANTE Y AA;Losa radiante;
Losa radiante electrica;Losa radiante;
bomba de calor;Losa radiante;
losa Gas;Losa radiante;
Calefacción losa eléctrica individual;Losa radiante;
LOSA CENTRAL;Losa radiante;
AA Central - Bomba de Calor;Losa radiante;
Gas oil;Losa radiante;
Bomba a gasoil nueva;Losa radiante;
Radiadores a gas;Losa radiante;
Radiadores;Losa radiante;
Central por radiadores;Losa radiante;
Calefacción central con caldera, calefactor y estufa de leña;Losa radiante;
central a Gas por radiadores;Losa radiante;
centralizada;Losa radiante;
A gas;Losa radiante;
Estufa alto rendimiento y Aires;Mixto;4
aire acondicionado y estufa;Mixto;
Aire acondicionado, estufa a leña.;Mixto;
estufa a leña estufa grande de alto rendimiento. Aire acodicionado;Mixto;
estufa a leña y aire acondicionado;Mixto;
Losa y Radiadores;Mixto;
estufa, aire a. y losa;Mixto;
Radiadores y losa;Mixto;
Losa radiante eléctrica, estufa a leña y previsión para aire acondicionado;Mixto;
Central y Aire Acondicionado;Mixto;
Estufa a leña, aire acondicionado;Mixto;
Aire acondicionado en los dormitorios, estar y comedor. 2 estufas a leña (una en el comedor y otra en la cocina).;Mixto;
aires acondicionados y estufa a leña;Mixto;
Estufa: Bosca a leña Aire Acondicionado: En todas las habitaciones;Mixto;
Estufa a leña , Aire Acondicionado;Mixto;
Estufa de leña A/A Losa Rdiante;Mixto;
nan;Sin especificar;0
para refaccionar;Sin especificar;
Gas;Sin especificar;
